feature_id,type,area,name,parent,spec_section,status,app_author_note,spec_url
html-ls:section:2.1.9,section,common-infrastructure,Dependencies,2.1,2.1.9,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#dependencies
html-ls:section:2.1.10,section,common-infrastructure,Extensibility,2.1,2.1.10,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#extensibility-2
html-ls:section:2.1.11,section,common-infrastructure,Interactions with XPath and XSLT,2.1,2.1.11,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#interactions-with-xpath-and-xslt
html-ls:section:2.2,section,common-infrastructure,Policy-controlled features,2,2.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#policy-controlled-features
html-ls:section:2.3,syntax-or-parsing,common-infrastructure,Common microsyntaxes,2,2.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#common-microsyntaxes
html-ls:section:2.3.1,section,common-infrastructure,Common parser idioms,2.3,2.3.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#common-parser-idioms
html-ls:section:2.3.2,section,common-infrastructure,Boolean attributes,2.3,2.3.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes
html-ls:section:2.3.3,section,common-infrastructure,Keywords and enumerated attributes,2.3,2.3.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#keywords-and-enumerated-attributes
html-ls:section:2.3.4,section,common-infrastructure,Numbers,2.3,2.3.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#numbers
html-ls:section:2.3.4.1,section,common-infrastructure,Signed integers,2.3.4,2.3.4.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#signed-integers
html-ls:section:2.3.4.2,section,common-infrastructure,Non-negative integers,2.3.4,2.3.4.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#non-negative-integers
html-ls:section:2.3.4.3,section,common-infrastructure,Floating-point numbers,2.3.4,2.3.4.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#floating-point-numbers
html-ls:section:2.3.4.4,section,common-infrastructure,Percentages and lengths,2.3.4,2.3.4.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#percentages-and-dimensions
html-ls:section:2.3.4.5,section,common-infrastructure,Nonzero percentages and lengths,2.3.4,2.3.4.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#nonzero-percentages-and-lengths
html-ls:section:2.3.4.6,section,common-infrastructure,Lists of floating-point numbers,2.3.4,2.3.4.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#lists-of-floating-point-numbers
html-ls:section:2.3.4.7,section,common-infrastructure,Lists of dimensions,2.3.4,2.3.4.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#lists-of-dimensions
html-ls:section:2.3.5,section,common-infrastructure,Dates and times,2.3,2.3.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#dates-and-times
html-ls:section:2.3.5.1,section,common-infrastructure,Months,2.3.5,2.3.5.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#months
html-ls:section:2.3.5.2,section,common-infrastructure,Dates,2.3.5,2.3.5.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#dates
html-ls:section:2.3.5.3,section,common-infrastructure,Yearless dates,2.3.5,2.3.5.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#yearless-dates
html-ls:section:2.3.5.4,section,common-infrastructure,Times,2.3.5,2.3.5.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#times
html-ls:section:2.3.5.5,section,common-infrastructure,Local dates and times,2.3.5,2.3.5.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#local-dates-and-times
html-ls:section:2.3.5.6,section,common-infrastructure,Time zones,2.3.5,2.3.5.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#time-zones
html-ls:section:2.3.5.7,section,common-infrastructure,Global dates and times,2.3.5,2.3.5.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#global-dates-and-times
html-ls:section:2.3.5.8,section,common-infrastructure,Weeks,2.3.5,2.3.5.8,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#weeks
html-ls:section:2.3.5.9,section,common-infrastructure,Durations,2.3.5,2.3.5.9,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#durations
html-ls:section:2.3.5.10,section,common-infrastructure,Vaguer moments in time,2.3.5,2.3.5.10,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#vaguer-moments-in-time
html-ls:section:2.3.6,section,common-infrastructure,Legacy colors,2.3,2.3.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#colours
html-ls:section:2.3.7,section,common-infrastructure,Space-separated tokens,2.3,2.3.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#space-separated-tokens
html-ls:section:2.3.8,section,common-infrastructure,Comma-separated tokens,2.3,2.3.8,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#comma-separated-tokens
html-ls:section:2.3.9,section,common-infrastructure,References,2.3,2.3.9,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#syntax-references
html-ls:section:2.3.10,section,common-infrastructure,Media queries,2.3,2.3.10,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#mq
html-ls:section:2.3.11,section,common-infrastructure,Unique internal values,2.3,2.3.11,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#unique-values
html-ls:section:2.4,section,common-infrastructure,URLs,2,2.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#urls
html-ls:section:2.4.1,section,common-infrastructure,Terminology,2.4,2.4.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#terminology-2
html-ls:section:2.4.2,syntax-or-parsing,common-infrastructure,Parsing URLs,2.4,2.4.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#resolving-urls
html-ls:section:2.4.3,section,common-infrastructure,Document base URLs,2.4,2.4.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#document-base-urls
html-ls:section:2.5,section,common-infrastructure,Fetching resources,2,2.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#fetching-resources
html-ls:section:2.5.1,section,common-infrastructure,Terminology,2.5,2.5.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#terminology-3
html-ls:section:2.5.2,section,common-infrastructure,Determining the type of a resource,2.5,2.5.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#content-type-sniffing
html-ls:section:2.5.3,section,common-infrastructure,Extracting character encodings from meta elements,2.5,2.5.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#extracting-character-encodings-from-meta-elements
html-ls:section:2.5.4,section,common-infrastructure,CORS settings attributes,2.5,2.5.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#cors-settings-attributes
html-ls:section:2.5.5,section,common-infrastructure,Referrer policy attributes,2.5,2.5.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#referrer-policy-attributes
html-ls:section:2.5.6,section,common-infrastructure,Nonce attributes,2.5,2.5.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#nonce-attributes
html-ls:section:2.5.7,section,common-infrastructure,Lazy loading attributes,2.5,2.5.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#lazy-loading-attributes
html-ls:section:2.5.8,section,common-infrastructure,Blocking attributes,2.5,2.5.8,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#blocking-attributes
html-ls:section:2.5.9,section,common-infrastructure,Fetch priority attributes,2.5,2.5.9,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/urls-and-fetching.html#fetch-priority-attributes
html-ls:section:2.6,section,common-infrastructure,Common DOM interfaces,2,2.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#common-dom-interfaces
html-ls:section:2.6.1,section,common-infrastructure,Reflecting content attributes in IDL attributes,2.6,2.6.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#reflecting-content-attributes-in-idl-attributes
html-ls:section:2.6.2,section,common-infrastructure,Using reflect via IDL extended attributes,2.6,2.6.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#using-reflect-via-idl-extended-attributes
html-ls:section:2.6.3,section,common-infrastructure,Using reflect in specifications,2.6,2.6.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#using-reflect-in-specifications
html-ls:section:2.6.4,section,common-infrastructure,Collections,2.6,2.6.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#collections
html-ls:section:2.6.4.1,webidl-interface-section,common-infrastructure,The HTMLAllCollection interface,2.6.4,2.6.4.1,unsupported,Do not rely on this feature in JellyFrame apps. Legacy document.all collection is intentionally absent.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#the-htmlallcollection-interface
html-ls:section:2.6.4.1.1,section,common-infrastructure,"[[Call]] ( thisArgument, argumentsList )",2.6.4.1,2.6.4.1.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#HTMLAllCollection-call
html-ls:section:2.6.4.2,webidl-interface-section,common-infrastructure,The HTMLFormControlsCollection interface,2.6.4,2.6.4.2,unsupported,Do not rely on this feature in JellyFrame apps. Browser collection APIs are not exposed; JellyFrame uses small static query/helper subsets.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#the-htmlformcontrolscollection-interface
html-ls:section:2.6.4.3,webidl-interface-section,common-infrastructure,The HTMLOptionsCollection interface,2.6.4,2.6.4.3,unsupported,Do not rely on this feature in JellyFrame apps. Browser collection APIs are not exposed; select exposes a small value/selectedIndex subset.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#the-htmloptionscollection-interface
html-ls:section:2.6.5,webidl-interface-section,common-infrastructure,The DOMStringList interface,2.6,2.6.5,unsupported,Do not rely on this feature in JellyFrame apps. DOMStringList API is not exposed.,https://html.spec.whatwg.org/multipage/common-dom-interfaces.html#the-domstringlist-interface
html-ls:section:2.7,section,common-infrastructure,Safe passing of structured data,2,2.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#safe-passing-of-structured-data
html-ls:section:2.7.1,section,common-infrastructure,Serializable objects,2.7,2.7.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#serializable-objects
html-ls:section:2.7.2,section,common-infrastructure,Transferable objects,2.7,2.7.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#transferable-objects
html-ls:section:2.7.3,section,common-infrastructure,"StructuredSerializeInternal ( value, forStorage [ , memory ] )",2.7,2.7.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#structuredserializeinternal
html-ls:section:2.7.4,section,common-infrastructure,StructuredSerialize ( value ),2.7,2.7.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#structuredserialize
html-ls:section:2.7.5,section,common-infrastructure,StructuredSerializeForStorage ( value ),2.7,2.7.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#structuredserializeforstorage
html-ls:section:2.7.6,section,common-infrastructure,"StructuredDeserialize ( serialized, targetRealm [ , memory ] )",2.7,2.7.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#structureddeserialize
html-ls:section:2.7.7,section,common-infrastructure,"StructuredSerializeWithTransfer ( value, transferList )",2.7,2.7.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#structuredserializewithtransfer
html-ls:section:2.7.8,section,common-infrastructure,"StructuredDeserializeWithTransfer ( serializeWithTransferResult, targetRealm )",2.7,2.7.8,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#structureddeserializewithtransfer
html-ls:section:2.7.9,section,common-infrastructure,Performing serialization and transferring from other specifications,2.7,2.7.9,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/structured-data.html#performing-structured-clones-from-other-specifications
